Depth,GR,Porosity,Caliper,Ring resistivity,MLT2_all_original,SD_all_original
10.188,58.1601,0.565722,9.1381,1.0184,2.322,1.736223046
10.3404,60.9179,0.558754,8.7842,1.016,2.2835,1.66148074
10.4928,61.4844,0.539033,8.7377,1.0135,2.183866667,1.578454682
10.6452,62.4926,0.5238,9.0833,1.011,2.055333333,1.539177645
10.7976,61.8291,0.519989,9.1003,1.0098,2.003366667,1.554955251
10.95,60.9953,0.539951,8.9128,1.0104,1.952166667,1.592645683
11.1024,62.3432,0.577547,9.0531,1.0146,1.8753,1.674857589
11.2548,62.1375,0.589453,8.9236,1.0125,1.7925,1.758866429
11.4072,65.0147,0.581286,8.648,1.0119,1.7083,1.864922664
11.5596,64.1987,0.546441,8.6592,1.0162,1.696233333,1.840970083
11.712,63.9723,0.53098,8.7725,1.0223,1.6425,1.799231813
11.8644,62.8842,0.559966,8.7712,1.0291,1.631633333,1.810702874
12.0168,63.3344,0.587683,8.4968,1.0361,1.6116,1.807693975
12.1692,64.2541,0.600668,8.4125,1.0412,1.635466667,1.895996092
12.3216,63.1011,0.576812,8.511,1.0263,1.5808,1.801125896
12.474,62.2585,0.573242,8.5815,1.0107,1.6305,1.86012983
12.6264,60.6748,0.584026,8.595,0.995,1.6463,1.801004334
12.7788,62.4636,0.566174,8.5526,0.9936,1.675133333,1.789326628
12.9312,63.8305,0.579128,8.6241,0.9968,1.6751,1.767764999
13.0836,66.1675,0.600624,8.8365,1,1.676166667,1.739569987
13.236,67.5441,0.626814,8.8617,1.0116,1.6981,1.741537048
13.3884,66.6084,0.627973,8.8478,1.0291,1.709833333,1.731412893
13.5408,67.1104,0.622189,8.7989,1.0458,1.747533333,1.742800634
13.6932,63.891,0.618042,8.8595,1.0459,1.779766667,1.767317698
13.8456,65.6527,0.615791,8.7048,1.0367,1.756,1.721458316
13.998,66.9723,0.585196,8.604,1.0153,1.7571,1.710884281
14.1504,69.7004,0.588788,8.6011,1.0044,1.7362,1.674547847
14.3028,67.9755,0.549864,8.6416,0.9989,1.779366667,1.715139751
14.4552,66.3672,0.57266,8.7096,1.0003,1.7324,1.610177001
14.6076,66.1906,0.563536,8.655,1.0103,1.752333333,1.601222457
14.76,68.0093,0.574677,8.7318,1.017,1.734466667,1.567237351
14.9124,66.3057,0.560287,8.8799,1.0099,1.789933333,1.603756609
15.0648,63.7668,0.577239,9.0282,0.9908,1.8006,1.622616541
15.2172,62.2358,0.626396,9.0274,0.9814,1.801366667,1.611375861
15.3696,62.4498,0.623952,8.8001,0.9763,1.8021,1.62660713
