Depth,GR,Porosity,Caliper,Ring resistivity
0.1213,3.2496,0.701333,15.1875,0.3125
0.2737,19.6745,0.70133,14.2399,0.3145
0.4261,38.0524,0.673321,11.0157,0.3223
0.5785,55.836,0.640208,9.7095,0.3488
0.7309,57.0042,0.652479,9.3564,0.3834
0.8833,54.9562,0.602631,9.4975,0.4186
1.0357,53.1388,0.569703,9.6822,0.4512
1.1881,52.0938,0.536619,10.2572,0.4803
1.3405,53.0564,0.575855,10.4633,0.5026
1.4929,55.3721,0.631197,10.6434,0.5135
1.6453,59.1122,0.621072,10.6302,0.517
1.7977,60.7774,0.574265,10.712,0.5161
1.9501,60.2382,0.564312,10.478,0.5163
2.1025,57.6318,0.598573,10.1221,0.5249
2.2549,55.603,0.617251,9.9196,0.534
2.4073,55.9336,0.60551,9.7859,0.5285
2.5597,57.9706,0.565589,9.9488,0.5139
2.7121,59.653,0.579156,10.0181,0.5141
2.8645,61.3159,0.566097,10.1559,0.5234
3.0169,60.8221,0.590899,10.1546,0.5348
3.1693,59.8481,0.554402,9.6991,0.5483
3.3217,59.6181,0.575634,9.2235,0.5608
3.4741,60.1451,0.588542,8.9972,0.5651
3.6265,62.3607,0.632867,8.9992,0.5699
3.7789,63.2913,0.599774,9.1719,0.5759
3.9313,62.6681,0.592231,8.9941,0.5713
4.0837,63.4207,0.6254,8.9492,0.5847
4.2361,61.02,0.627707,8.8433,0.5925
4.3885,63.1034,0.599919,8.9356,0.5851
4.5409,60.7968,0.558552,8.9686,0.5797
4.6933,60.8941,0.561067,8.9805,0.578
4.8457,59.191,0.579236,8.7108,0.5786
4.9981,59.7051,0.561749,8.5644,0.5846
5.1505,62.0337,0.58193,8.2899,0.5832
5.3029,61.5422,0.593918,8.6984,0.5831
5.4553,62.6659,0.588993,8.7526,0.5778
5.6077,61.7862,0.571729,9.0667,0.5657
5.7601,64.394,0.533366,8.5756,0.5481
5.9125,63.4625,0.549887,8.6702,0.5549
6.0649,63.479,0.560514,8.7967,0.5687
6.2173,61.5903,0.593885,8.9223,0.5788
6.3697,61.3839,0.57163,8.8887,0.5776
6.5221,59.8101,0.548105,8.8633,0.5804
6.6745,59.6938,0.512589,8.9455,0.5859
6.8269,58.0921,0.529952,8.993,0.5849
6.9793,59.2423,0.538561,9.0767,0.5721
7.1317,59.5798,0.565747,9.0826,0.5732
7.2841,64.1914,0.560388,9.095,0.5844
7.4365,64.3233,0.565162,9.0595,0.6037
7.5889,64.9547,0.585342,9.0011,0.5987
7.7413,63.5924,0.563716,8.9199,0.592
7.8937,62.9896,0.576203,8.9006,0.5889
8.0461,61.5585,0.551392,8.894,0.5917
8.1985,58.1919,0.586418,8.8343,0.5927
8.3509,56.5337,0.537672,8.8051,0.5991
8.5033,56.3313,0.533521,8.8001,0.6072
8.6557,57.6665,0.520296,8.9923,0.6001
8.8081,58.6421,0.537367,9.0622,0.5935
8.9605,57.7711,0.536344,9.0637,0.5929
9.1129,58.8426,0.530145,8.9395,0.6047
9.2653,58.7667,0.519459,8.8655,0.6062
9.4177,58.6443,0.53719,8.8592,0.6008
9.5701,59.6732,0.547801,8.9014,0.6051
9.7225,60.6099,0.56953,8.75,0.612
9.8749,59.126,0.537674,8.5886,0.6216
10.0273,53.8827,0.52182,8.5398,0.6323
10.1797,54.7591,0.533598,8.7631,0.6411
10.3321,55.6252,0.548466,8.883,0.6488
10.4845,55.2096,0.549413,8.8288,0.6551
10.6369,53.0742,0.536047,8.6701,0.6584
10.7893,54.9676,0.521829,8.6604,0.661
10.9417,57.2477,0.536403,8.667,0.6753
11.0941,58.8251,0.544157,8.7413,0.6825
11.2465,59.2909,0.537827,8.7012,0.6841
11.3989,60.3102,0.543182,8.7736,0.6781
11.5513,58.879,0.521488,8.741,0.6724
11.7037,55.5104,0.529628,8.7648,0.6825
11.8561,54.8817,0.5242,8.7477,0.7025
12.0085,55.5972,0.531918,8.7443,0.7091
12.1609,60.077,0.563719,8.6727,0.71
12.3133,60.0367,0.541,8.5396,0.7121
12.4657,63.115,0.565647,8.359,0.719
12.6181,61.7606,0.563325,8.3652,0.7243
12.7705,62.5119,0.569671,8.4663,0.7157
12.9229,60.8209,0.602661,8.6676,0.7064
13.0753,61.7481,0.585529,8.7473,0.7048
13.2277,62.9699,0.609603,8.745,0.7055
13.3801,62.9673,0.567224,8.8829,0.7052
13.5325,61.1182,0.578631,8.9645,0.7025
13.6849,59.6567,0.570452,9.0702,0.6999
13.8373,58.2846,0.579612,8.9702,0.6935
13.9897,58.2165,0.581372,9.0224,0.6853
14.1421,57.0013,0.581138,9.0117,0.6812
14.2945,58.3812,0.559551,9.0196,0.6817
14.4469,58.1751,0.546166,9.0793,0.6777
14.5993,58.1619,0.555315,9.2365,0.6726
14.7517,56.2742,0.563116,9.2363,0.667
14.9041,54.8274,0.571586,9.2718,0.6715
15.0565,53.5234,0.561574,9.245,0.6814
15.2089,56.6432,0.566221,9.3913,0.6952
15.3613,57.9626,0.586192,9.3203,0.7116
15.5137,60.9633,0.592417,9.4284,0.7321
15.6661,58.8903,0.614124,9.4774,0.7567
15.8185,57.9537,0.591361,9.5243,0.7599
15.9709,58.5864,0.601443,9.3878,0.7438
16.1233,58.2646,0.601429,9.2997,0.7288
16.2757,58.3497,0.603915,9.268,0.7275
16.4281,54.9753,0.585795,9.2796,0.728
16.5805,54.1485,0.581519,9.223,0.7372
16.7329,57.3188,0.582577,9.2377,0.7462
16.8853,59.6042,0.617974,9.1948,0.7541
17.0377,60.0692,0.597651,9.2338,0.7603
17.1901,58.035,0.616586,9.2263,0.7619
17.3425,58.7591,0.589914,9.3708,0.7605
17.4949,58.2322,0.56002,9.3485,0.7561
